All Test Averages	Trial Number	Test Timestamp	Tester Name	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
	1	2018-10-30_15:57:00	0	Presets_dockPreset_4	True	0.6558517	80.22425	86.70464	79.01348	109.9985	30.51147	0	0	50.24982	1.33609	70.45889	99.80867	0.2917275	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	
	2	2018-10-30_15:57:01	0	ZEROING DATA	True	0.711974	99.96754	100	99.98145	0.0007838361	1.773924E-09	0	0	0	0	0	100	8.70931E-07	28.60065	11.48712	5.3919	0	11.72163	0	0	0	0	1	1	1	1	1	1	1	
	3	2018-10-30_15:57:09	0	BAD DATA	True	7.926783	54.19923	72.22222	61.92337	90	90	0	150	5.008957E-06	5.008956E-06	150	95.06346	0.5333334	132.9228	34.46132	44.3076	0	54.15384	0	0	0	0	0	0	1	0	1	1	0	
	4	2018-10-30_15:57:11	0	ZEROING DATA	True	1.366339	99.6744	100	99.81394	2.673367E-08	8.247908E-18	0	4.093356E-08	0	0	0	100	7.518581E-11	14.53481	0	8.674011	0	5.860802	0	0	0	0	1	1	1	1	1	1	1	
	5	2018-10-30_15:57:12	0	Presets_dockPreset_1	True	0.6585721	58.11209	84.44523	69.09132	0.3776855	150	0	149.8087	3.860718	56.81116	27.18462	99.69583	0.4311587	4.68866	0	4.68866	0	0	0	0	0	0	1	0	1	0	1	0	0	
	6	2018-10-30_15:57:12	0	ZEROING DATA	True	0.7136061	99.86961	100	99.92549	1.208827E-06	7.823342E-09	0	0.001041929	0	0	0	100	1.15905E-06	5.626373	0	0	0	5.626373	0	0	0	0	1	1	1	1	1	1	1	
	7	2018-10-30_15:57:13	0	BAD DATA	True	0.7140659	71.74514	72.22222	64.80675	89.99933	90	0	29.99977	90	150	0	99.64297	0.499999	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
	8	2018-10-30_15:57:15	0	ZEROING DATA	True	1.433693	99.73952	100	99.85115	9.684573E-09	1.068234E-18	0	3.304712E-09	0	0	0	100	1.443254E-11	14.30029	9.846069	4.454224	0	0	0	0	0	0	1	1	1	1	1	1	1	
	9	2018-10-30_15:57:16	0	Ltd Random	True	0.6527626	67.29219	72.22222	69.40506	29.99942	114.5608	0	89.99827	5.008957E-06	5.008956E-06	150	99.66299	0.4272873	13.59703	4.923035	2.109894	0	6.564102	0	0	0	0	0	0	1	0	1	1	0	
	10	2018-10-30_15:57:18	0	ZEROING DATA	True	2.147947	99.90232	100	99.94418	7.079493E-14	6.209174E-28	0	2.074476E-13	0	0	0	100	3.091583E-16	29.53833	14.5347	7.970664	0	7.032967	0	0	0	0	1	1	1	1	1	1	1	
	11	2018-10-30_15:57:19	0	Ltd Random	False	0.7133716	53.74363	83.33333	59.28207	89.99933	90	0	149.9989	90	90.00001	0	99.54926	0.5666648	8.205078	2.344299	5.860779	0	0	0	0	0	0	0	0	1	0	0	0	1	
	12	2018-10-30_15:57:19	0	ZEROING DATA	True	0.5927438	99.6096	100	99.77691	0.003945538	1.772711E-07	0	0.006216015	0	0	0	99.99999	1.129081E-05	5.39193	5.39193	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	13	2018-10-30_15:57:20	0	Ltd Random	True	0.5970311	66.91444	83.33333	73.95111	29.99878	116.5798	0	89.9964	5.008957E-06	90	5.008957E-06	99.77231	0.3628611	3.047623	3.047623	0	0	0	0	0	0	0	0	0	1	0	1	0	1	
	14	2018-10-30_15:57:21	0	ZEROING DATA	True	0.5325677	99.86759	100	99.92434	0.003942668	1.962426E-06	0	0.01163923	0	0	0	99.99999	1.73154E-05	14.06591	3.516479	6.095215	0	4.454216	0	0	0	0	1	1	1	1	1	1	1	
	15	2018-10-30_15:57:21	0	Ltd Random	False	0.5371982	70.83575	72.22222	71.42995	29.99689	30	0	149.9857	5.008957E-06	150	5.008956E-06	99.72418	0.3999806	15.23807	10.0806	5.157471	0	0	0	0	0	0	0	0	1	0	1	0	1	
	16	2018-10-30_15:57:22	0	ZEROING DATA	True	0.7119057	99.51173	100	99.72099	0.0002487991	2.067571E-09	0	0.001172558	0	0	0	100	1.579288E-06	14.06591	5.157463	2.34433	0	6.564117	0	0	0	0	1	1	1	1	1	1	1	
	17	2018-10-30_15:57:23	0	Presets_dockPreset_3	False	0.6570561	50.01038	57.60443	49.92292	109.9981	113.5227	0	134.9978	42.10992	84.23471	144.7013	99.54038	0.6995162	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
	18	2018-10-30_15:57:24	0	ZEROING DATA	True	0.7118613	99.67464	100	99.81408	0.0007976418	6.176738E-09	0	0.000956792	0	0	0	100	1.949378E-06	8.673996	0	2.34433	0	6.329666	0	0	0	0	1	1	1	1	1	1	1	
	19	2018-10-30_15:57:25	0	Presets_dockPreset_2	False	0.8378599	62.33723	51.01716	52.44123	89.99991	90	0	89.99991	63.56118	166.4548	98.05249	99.39337	0.6645204	7.501854	7.501854	0	0	0	0	0	0	0	0	0	1	0	0	0	0	


